載具自訂名稱,發票日期,發票號碼,發票金額,發票狀態,折讓,賣方統一編號,賣方名稱,賣方地址,買方統編,消費明細_數量,消費明細_單價,消費明細_金額,消費明細_品名
手機條碼,20260405,YQ65627892,45,開立已確認,否,97179662,統一超商股份有限公司台北市第３１９分公司,台北市萬華區西寧南路85號,,1,45,45,美式冰咖啡(大)
手機條碼,20260404,ZM15847439,130,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,130,130,蒜香高麗菜  份
手機條碼,20260404,ZM15847439,150,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,150,150,明太子雞腿肉
手機條碼,20260404,ZM15847439,120,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,120,120,綠茶梅酒沙瓦  杯
手機條碼,20260404,ZM15847439,178,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,178,178,酒蒸蛤蜊  份
手機條碼,20260404,ZM15847439,100,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,100,100,蜜釀番茄  份
手機條碼,20260404,ZM15847439,90,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,90,90,醬燒香菇
手機條碼,20260404,ZM15847439,160,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,160,160,生蠔
手機條碼,20260404,ZM15847439,206,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,206,206,服務費
手機條碼,20260404,ZM15847439,120,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,120,120,18天  瓶
手機條碼,20260404,ZM15847439,100,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,100,100,鹽烤櫛瓜
手機條碼,20260404,ZM15847439,160,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,160,160,香烤肥腸  份
手機條碼,20260404,ZM15847439,168,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,168,168,愛媛血橙  杯
手機條碼,20260404,ZM15847439,218,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,218,218,鹽蔥牛舌  份
手機條碼,20260404,ZM15847439,130,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,130,130,蔥鹽雞胸肉
手機條碼,20260404,ZM15847439,120,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,120,120,豬肉蔥串
手機條碼,20260404,ZM15847439,120,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,120,120,揚出豆腐  份
關網會員,20260404,ZB60509210,120,開立已確認,否,83076928,優食台灣股份有限公司,新北市林口區文化二路1段390號7樓,,1,120,120,Uber One 訂閱費
手機條碼,20260404,YE25388296,49,開立已確認,否,28425176,全家便利商店股份有限公司板橋龍江分公司,新北市板橋區文化路二段１８２巷３弄９１，９３號１樓,,1,49,49,燕麥奶醫療口罩未滅菌５入裝
手機條碼,20260403,YT73503551,49,開立已確認,否,53018556,統一超商股份有限公司新北市第二０四分公司,新北市板橋區莒光路40巷16號,,1,49,49,焗烤雙起司鮪魚三明治
手機條碼,20260403,YT73503551,49,開立已確認,否,53018556,統一超商股份有限公司新北市第二０四分公司,新北市板橋區莒光路40巷16號,,1,49,49,(蔬)黃金紫玉地瓜三明治
手機條碼,20260403,YT73503551,35,開立已確認,否,53018556,統一超商股份有限公司新北市第二０四分公司,新北市板橋區莒光路40巷16號,,1,35,35,美式熱咖啡(中)
手機條碼,20260403,YT73503551,10,開立已確認,否,53018556,統一超商股份有限公司新北市第二０四分公司,新北市板橋區莒光路40巷16號,,1,10,10,加價中杯升級大杯
手機條碼,20260403,YT73503551,-19,開立已確認,否,53018556,統一超商股份有限公司新北市第二０四分公司,新北市板橋區莒光路40巷16號,,1,-19,-19,3/4-4/14超值組合65元*1ZJA*
手機條碼,20260403,YT73503551,-5,開立已確認,否,53018556,統一超商股份有限公司新北市第二０四分公司,新北市板橋區莒光路40巷16號,,1,-5,-5,自帶杯獎勵5元(咖啡1)
手機條碼,20260403,YT31335077,169,開立已確認,否,86924811,統一超商股份有限公司台北縣第３２分公司,新北市板橋區永豐街87號1樓,,1,169,169,2O韓真果實Peace檸檬Highball-紅
手機條碼,20260403,YT31335077,69,開立已確認,否,86924811,統一超商股份有限公司台北縣第３２分公司,新北市板橋區永豐街87號1樓,,1,69,69,日本NIJIYA山梨水蜜桃調酒
手機條碼,20260403,YT31335077,-70,開立已確認,否,86924811,統一超商股份有限公司台北縣第３２分公司,新北市板橋區永豐街87號1樓,,1,-70,-70,0401指定韓國真果酒單件99元*28J
手機條碼,20260403,YE09102069,35,開立已確認,否,90514374,全家便利商店股份有限公司台中市第七一○分公司,台中市大甲區慈德路１２５號,,1,35,35,二配海苔肉鬆沙拉麵包
手機條碼,20260403,YE09102069,35,開立已確認,否,90514374,全家便利商店股份有限公司台中市第七一○分公司,台中市大甲區慈德路１２５號,,1,35,35,二配經典蜂蜜鬆餅
捐贈或作廢之發票，字軌號碼均會隱末3碼
注意：本功能所下載之雲端發票明細檔案可能因賣方營業人後續作廢或折讓等原因而產生誤差。
